Freq.,ampDB,fase,ZIN NO DB
1.00E+08,4.24470451515986e+001,9.20205956117490e+001,132.5416148
1.26E+08,4.04490593930393e+001,9.16055880943733e+001,105.3059644
1.58E+08,3.84503463136753e+001,9.12758247116204e+001,83.6598951
2.00E+08,3.64511765700770e+001,9.10138157114327e+001,66.45976916
2.51E+08,3.44517191841904e+001,9.08056314181855e+001,52.79416911
3.16E+08,3.24520783653334e+001,9.06401952067419e+001,41.93763333
3.98E+08,3.04523179648060e+001,9.05087131406879e+001,33.31316518
5.01E+08,2.84524777669837e+001,9.04042100828445e+001,26.46207453
6.31E+08,2.64525836133351e+001,9.03211522293161e+001,21.0198291
7.94E+08,2.44526530124996e+001,9.02551446110771e+001,16.69677715
1.00E+09,2.24526980522262e+001,9.02026930147061e+001,13.26279029
1.26E+09,2.04527270340851e+001,9.01610178342741e+001,10.53504395
1.58E+09,1.84527455636966e+001,9.01279078258488e+001,8.368300715
2.00E+09,1.64527573571433e+001,9.01016043036072e+001,6.64718656
2.51E+09,1.44527648403168e+001,9.00807089541267e+001,5.280052515
3.16E+09,1.24527695789663e+001,9.00641103063052e+001,4.194097082
3.98E+09,1.04527725757470e+001,9.00509250832186e+001,3.331490881
5.01E+09,8.45277446935644e+000,9.00404514613743e+001,2.646297847
6.31E+09,6.45277566525146e+000,9.00321318534504e+001,2.102029387
7.94E+09,4.45277642025292e+000,9.00255232964386e+001,1.669701437
1.00E+10,2.45277689680326e+000,9.00202739041092e+001,1.326291068
1.26E+10,4.52777197556619e-001,9.00161041490589e+001,1.053510479
1.58E+10,-1.54722261265279e+000,9.00127919876126e+001,0.8368331375
2.00E+10,-3.54722249289184e+000,9.00101610406081e+001,0.664720198
2.51E+10,-5.54722241732334e+000,9.00080712032885e+001,0.5280060261
3.16E+10,-7.54722236964107e+000,9.00064111855821e+001,0.4194100969
3.98E+10,-9.54722233955489e+000,9.00050925861880e+001,0.3331492831
5.01E+10,-1.15472223205715e+001,9.00040451852285e+001,0.2646298825
6.31E+10,-1.35472223085937e+001,9.00032132049578e+001,0.2102029877
7.94E+10,-1.55472223010362e+001,9.00025523394801e+001,0.1669701683
1.00E+11,-1.75472222962676e+001,9.00020273953428e+001,0.1326291191
