Freq.,MODULO,FASE,modulo en no db
7.94E+03,6.80432249249547e+001,-1.75569238136050e+002,2524.417872
1.00E+04,6.80920653030142e+001,-1.74473562434293e+002,2538.652547
1.26E+04,6.81676061820992e+001,-1.73142875711166e+002,2560.827407
1.58E+04,6.82828843481026e+001,-1.71559544307085e+002,2595.040962
2.00E+04,6.84552884746379e+001,-1.69734622759977e+002,2647.063891
2.51E+04,6.87056361581636e+001,-1.67732355555407e+002,2724.468606
3.16E+04,6.90543952584108e+001,-1.65697533105647e+002,2836.088396
3.98E+04,6.95140035853507e+001,-1.63869453970517e+002,2990.199601
5.01E+04,7.00787314514125e+001,-1.62556901897700e+002,3191.071774
6.31E+04,7.07176327949840e+001,-1.62059136622958e+002,3434.643292
7.94E+04,7.13776620166654e+001,-1.62557752514349e+002,3705.80959
1.00E+05,7.19986009863810e+001,-1.64043390010846e+002,3980.430536
1.26E+05,7.25321451074946e+001,-1.66329981217963e+002,4232.600271
1.58E+05,7.29538377063121e+001,-1.69146683262835e+002,4443.159311
2.00E+05,7.32626424766227e+001,-1.72245062326530e+002,4603.966171
2.51E+05,7.34720020737309e+001,-1.75465160874617e+002,4716.285679
3.16E+05,7.35995860274843e+001,-1.78748608919537e+002,4786.072812
3.98E+05,7.36600952790754e+001,1.77880602177988e+002,4819.530843
5.01E+05,7.36615966631230e+001,1.74344385017716e+002,4820.363987
6.31E+05,7.36040898146433e+001,1.70536311190569e+002,4788.555119
7.94E+05,7.34791003199614e+001,1.66343478177574e+002,4720.141477
1.00E+06,7.32698224363574e+001,1.61667139959455e+002,4607.77349
1.26E+06,7.29519451593149e+001,1.56444253776427e+002,4442.191308
1.58E+06,7.24955607066765e+001,1.50669949057346e+002,4214.810326
2.00E+06,7.18686806999246e+001,1.44418843862424e+002,3921.335806
2.51E+06,7.10430102288779e+001,1.37858649953676e+002,3565.746885
3.16E+06,7.00017041516004e+001,1.31241159984437e+002,3162.898153
3.98E+06,6.87460277829693e+001,1.24857350010446e+002,2737.167591
5.01E+06,6.72963073806859e+001,1.18968520883088e+002,2316.409669
6.31E+06,6.56859571261123e+001,1.13750012513191e+002,1924.411114
7.94E+06,6.39524435956213e+001,1.09274281235302e+002,1576.239403
1.00E+07,6.21300129405629e+001,1.05529138724602e+002,1277.911113
1.26E+07,6.02461681481709e+001,1.02449918820382e+002,1028.746587
1.58E+07,5.83211985465559e+001,9.99484579805657e+001,824.2518438
2.00E+07,5.63692606313519e+001,9.79325263855818e+001,658.3593861
2.51E+07,5.43998801897286e+001,9.63163367102931e+001,524.8002213
3.16E+07,5.24193189630155e+001,9.50249746840197e+001,417.797607
3.98E+07,5.04316319449660e+001,9.39953733693090e+001,332.3392208
5.01E+07,4.84394201648449e+001,9.31755973472686e+001,264.2232367
6.31E+07,4.64443419593011e+001,9.25234529449133e+001,209.9989378
7.94E+07,4.44474505926621e+001,9.20049476736238e+001,166.8677959
1.00E+08,4.24494134133204e+001,9.15928394430445e+001,132.5777581
1.26E+08,4.04506526083863e+001,9.12653676794352e+001,105.325282
1.58E+08,3.84514350032767e+001,9.10051861929711e+001,83.67038169
2.00E+08,3.64519291114617e+001,9.07984856154711e+001,66.46552746
2.51E+08,3.44522412869336e+001,9.06342813265499e+001,52.79734263
3.16E+08,3.24524386107564e+001,9.05038403274605e+001,41.93937272
3.98E+08,3.04525633807927e+001,9.04002221541778e+001,33.31410644
5.01E+08,2.84526422805318e+001,9.03179121532726e+001,26.46257574
6.31E+08,2.64526921638716e+001,9.02525290825159e+001,21.02009179
7.94E+08,2.44527236904041e+001,9.02005923400360e+001,16.69691301
1.00E+09,2.24527436072171e+001,9.01593368845048e+001,13.26285985
1.26E+09,2.04527561850629e+001,9.01265661652138e+001,10.53507931
1.58E+09,1.84527641259652e+001,9.01005352738836e+001,8.368318599
2.00E+09,1.64527691383543e+001,9.00798581062853e+001,6.647195576
2.51E+09,1.44527723017882e+001,9.00634335991194e+001,5.280057051
3.16E+09,1.24527742981176e+001,9.00503871243207e+001,4.19409936
3.98E+09,1.04527755578524e+001,9.00400239283598e+001,3.331492024
5.01E+09,8.45277635274594e+000,9.00317921428178e+001,2.646298421
6.31E+09,6.45277685431175e+000,9.00252533999249e+001,2.102029675
7.94E+09,4.45277717078712e+000,9.00200594902100e+001,1.669701582
1.00E+10,2.45277737047306e+000,9.00159338202640e+001,1.32629114
1.26E+10,4.52777496467762e-001,9.00126566837319e+001,1.053510515
1.58E+10,-1.54722242403440e+000,9.00100535614513e+001,0.8368331557
2.00E+10,-3.54722237387444e+000,9.00079858278231e+001,0.6647202072
2.51E+10,-5.54722234222555e+000,9.00063433685691e+001,0.5280060307
3.16E+10,-7.54722232225642e+000,9.00050387167836e+001,0.4194100992
3.98E+10,-9.54722230965673e+000,9.00040023950209e+001,0.3331492842
5.01E+10,-1.15472223017069e+001,9.00031792153781e+001,0.2646298831
6.31E+10,-1.35472222966908e+001,9.00025253405423e+001,0.210202988
7.94E+10,-1.55472222935259e+001,9.00020059492967e+001,0.1669701685
1.00E+11,-1.75472222915290e+001,9.00015933821646e+001,0.1326291192
